prompt,positive,negative
Would you recommend this movie to a friend who enjoys action comedies?,"This movie is truly brilliant. It ducks through banality to crap at such speed you don't even see good sense and common decency to mankind go whizzing past. But it doesn't stop there! This movie hits the bottom of the barrel so hard it bounces back to the point of ludicrous comedy: behold as Kor the Beergutted Conan wannabe with the over-abundance of neck hair struts his stuff swinging his sword like there's no tomorrow (and the way he swung it, I really am amazed there *was* a tomorrow for him, or at least, for his beer gut). Don't miss this movie, it's a fantastic romp through idiocy, and sheer bloody mindedness! And once you have finished watching this one, dry the tears of joy (or tears of frustration at such an inept attempt at storytelling) from your eyes because some stupid f00l gave these people another $5 to make a sequel!","This movie is a trainwreck! It tries so hard to be funny and entertaining but fails miserably. The characters are ridiculous, the plot makes no sense, and the attempts at humor fall flat. Watching this movie feels like a complete waste of time."
"What makes ""Wizards of the Lost Kingdom"" a movie to avoid watching?","If somebody wants to make a really, REALLY bad movie, ""Wizards of the Lost Kingdom"" really sets a yardstick by which to measure the depth of badness.<br /><br />Start with the pseudo-Chewbacca that follows around the main character ... Some poor schmuck in a baggy white ""furry"" costume that looks as if it was stitched together from discarded pieces of carpeting. Work your way slowly, painfully, through more not-so-special effects that thoroughly deny the viewer from suspension of disbelief. Add a garden gnome (just for the heck of it).<br /><br />On second thought, skip this movie entirely and find something else to do for an hour and a half.","""Wizards of the Lost Kingdom"" sets a new standard for terribleness with its laughably bad special effects and ridiculous characters like a makeshift Chewbacca and a garden gnome tossed in for no reason. The movie fails miserably in creating a believable world, making it a painful and unbearable experience to sit through. It's best to steer clear of this disaster and find a better way to spend your time instead."
What aspects of this film might make it difficult for young audiences to enjoy?,"Think of this film as a Saturday morning live-action program from ages ago. Even the small tykes will find this one hard to please because it runs like molasses! I can't fully understand how god awful it is to make something too typical and uninteresting, especially in the costume department! Too many warrior-wizard movies out there have used the same old plotline numerous times over, but this is mighty scarce considering its appeal to the little darlings. And who in the world would've let a topless mermaid be cast in the first place? I thought this was a ""family"" movie! MST3K, here's another fine gem for your 1999 TV season!","The film's slow pace and unoriginal plotline might make it hard for the little ones to stay engaged. Additionally, the inclusion of inappropriate elements like a topless mermaid could be off-putting for a family movie."
What are the main criticisms of the movie in the review?,"There's nothing I hate more than self-congratulating pretentiousness. Kevin Smith deserves to be hung up by his toenails for inspiring every white middle-class whiner to make a movie about why they can't get laid. I don't really mind inexperience and low-budget productions but when the writing is this obvious and cloying it really burns my potatoes. The money put into this could've gone to a real struggling filmmaker who actually has a chance like John Gulager. If you watch Project Greenlight you'll immediately recognize a talented visionary who is fighting against the system. Anybody could grab a camera and make a talkative picture that doesn't manage to say anything really, at all. When will we be saved from the Smithonites and Whedonettes of the world? The revolution can't come soon enough. Go watch a real first time effort by buying Desperado or searching out Friends With Benefits. Thank you and good day.","The critic strongly dislikes the self-congratulatory and pretentious nature of the film, claiming that it inspires unoriginal productions from privileged individuals. The writing is criticized for being obvious and lacking substance, with the critic suggesting that the budget could have been better used to support more deserving filmmakers. The film is compared unfavorably to works by other directors such as John Gulager, and the reviewer expresses a desire to move away from films made in a similar style to those by Kevin Smith and Joss Whedon."
What makes this animated short film targeted towards preteen girls unique and potentially nostalgic?,"Here is one of those educational short films made to learn the unknown people out there about facts of life. This time the target audience is preteen girls, the fact of life is menstruation. This animated film, created by Walt Disney Pictures, apparently with some sponsoring from Kotex.<br /><br />It starts with explaining how hormones make you grow and develop. With the help of animation and a female narrator it shows us how the body, especially the ovaries, uterus and vagina, work and why this all leads to menstruation. It is almost amazing, becoming the comic note here, how the subject of sex is avoided. Even the word is never mentioned although ""furtilized"" will pass once. I don't really know why I saw this, but since it is one of those rare short films that could give an impression of an innocent time, you might want to give it a try.","Despite its educational value, the film lacked depth in addressing critical aspects of menstruation. The avoidance of explicit language and a more comprehensive discussion on the topic of sex left it feeling superficial and ultimately failed to provide adequate information to its target audience."
Would you recommend this movie to anyone?,"A bad one.<br /><br />Oh, my...this is one of the movies, which doesn't have even one positive effect. Just everything from actors to story stinks to the sky. I just wonder how low I.Q. you should have to watch this kind of flick and even enjoy.<br /><br /> Is there something than this is worth watching for? Well, there is a lot of nudity involved, but it's nothing particular. And when you just think that it couldn't get worse, your realize that all the naked ladies looked like there are forty years old. C'mon guys, where did you search for these actresses. In elderly home, perhaps.<br /><br /> Anyway, the leading actresses has some sex-appeal and knows how to show it. Again, too bad, that she is too skinny & old. All in all, skip these one.<br /><br />2 out of 10","Oh man, this movie was a disaster. From the acting to the storyline, everything was just terrible. The only thing worth mentioning is the nudity, but even that was nothing to write home about - the actresses looked like they were way past their prime. The leading actress tried to bring some sex appeal, but she was just too skinny and old for it to be impressive. Overall, this movie is a complete skip. 2 out of 10."
Do you think the movie successfully captures the essence of the metal culture?,"Skippy from ""Family Ties"" plays Eddie, a wussy 'metal' nerd who gets picked on. When his favorite wussy 'metal' singer, Sammi Curr, dies, he throws a hissy fit tearing down all the posters on his bedroom wall. But when he later gets an unreleased record that holds the spirit of his dead 'metal' idol. He first gets sucked into ideas of revenge, but then he doesn't want to take it as far as Sammi does. Which isn't really that far as his main victims only seem to go to the hospital. This movie is utterly laughable and has about as much to do with real metal as say, ""Rock Star"". OK, maybe a tad more than that piece of junk, but you get my point. And how ANYone can root for a guy played by Skippy from ""Family Ties"" I haven't a clue. The cameo by Gene Simmons is OK, and Ozzy Osbourne reaches coherency, I applaud him for that, but otherwise skip this one.<br /><br />My Grade: D <br /><br />Eye Candy:Elise Richards gets topless, an a topless extra at a pool party","The movie is utterly laughable and disconnected from real metal culture. The characterization of the main protagonist, played by Skippy from ""Family Ties,"" fails to resonate with the audience. The plot, centered around a deceased metal idol's spirit transferring into a record, lacks depth and fails to deliver a compelling narrative. Despite minor positives like a cameo by Gene Simmons and Ozzy Osbourne's improved coherence, the film falls short and should be skipped."
"Why is ""Trick or Treat"" such a disappointment?","How can a movie have Ozzy Osbourne and still suck? I just don't get it. Trick or Treat managed to do it. This sucks and likes it.<br /><br />Trick or Treat is one of those movies I have to warn people about. It is a vomit-inducing vile atrocity just begging to be viewed so you can feel that much worse about yourself. Trick or Treat has no redeeming factors.<br /><br />For a movie about heavy metal, it sure doesn't seem to grasp what heavy metal is or what it represents. This movie manages to make heavy metal look lame and this was in 1986, probably one of heavy metal's strongest hours. That is quite a feat, however negative.<br /><br />Trick or Treat = so bad you will be angry at yourself for having watched it. That simple equation will hopefully keep you away from this brainless and gutless film.","""Trick or Treat"" manages to take the excitement of heavy metal and turn it into a lame, brainless, and gutless film. Despite boasting Ozzy Osbourne in its cast, the movie is a vomit-inducing vile atrocity that will leave you feeling worse about yourself after watching it. The film fails to capture the essence of heavy metal and instead makes it look uncool, even during heavy metal's strong era in 1986. Ultimately, ""Trick or Treat"" is so bad that you'll be angry at yourself for wasting your time on it."
Do you think the plot of this movie was believable?,"This movie has a very hard-to-swallow premise, even by this genre's standards. We are asked to accept not only that a record played backwards can bring a dead man back to life, but that the record also contains hidden messages aimed SPECIFICALLY at one kid, when the singer had no connection to the boy when he was alive, and of course no way of knowing at whose hands the record would end up. Anyway, the film is fun for a while, but eventually the silliness and the pointlessness reign supreme. If they were really trying to create a new Freddy-like horror icon, they were way off: the villain here has no personality, no motivation, and no variety. (*1/2)","The movie's core premise of a record played backwards bringing a dead man to life and containing hidden messages aimed at a specific individual is too far-fetched to be believable. The attempt to create a new horror icon falls flat as the villain lacks personality, motivation, and variety."
"What was disappointing about the film ""The Hungry Bachelors Club"" according to a reviewer?","I had the opportunity to preview this film as a member of a test audience, and the only thing which kept me in my seat was the chance to fill out the post-screening survey. I felt the film's biggest problem was its lack of a main plot. Instead, it was composed of (too) many sub-plots competing for screen time. As a result, there is not a single character who is developed enough for the audience to form any sort of attachment. What the director and producer failed to do was show us why we should care what happens to the characters. In fact any one sub-plot and the characters associated with it could have been removed altogether without serious detriment to the film. (The time gained would have allowed for the much needed development of the remaining sub-plots and characters.) Simply put, The Hungry Bachelors Club's plate is overcrowded with side dishes and appetizers when an entre is desired.","The film lacks a main plot and suffers from an overload of sub-plots, resulting in undeveloped characters and a lack of emotional connection with the audience. The director and producer failed to make viewers care about the characters, with many sub-plots feeling unnecessary and distracting from the central story."
What sets this vampire film apart from traditional vampire stories like those from Bram Stoker or Anne Rice?,"not your typical vamp story, not bram stoker or anne rice here. a truly original vampyre story. these vampyres are genetic mutants who the sunlight don't bother. they are pure evil to. <br /><br />the film is not perfect. many of the actors are clearly amateurs. the two leads who play van helsing and rally the vampyre chick are pretty good though. the film is intensely violent which may disturb some people. also it is loaded with scientific detail that many will find hard to understand and may get bored with. i was sold on the clever storyline and the couple good performances. no telling how successful this film could be if they had a bigger budget and it got mass distribution","While the film brings a unique twist to vampire mythology with its genetic mutant vampires, it falls short in various aspects. The acting is subpar with many amateur actors, albeit the two leads manage to deliver decent performances. The excessive violence may be unsettling for some viewers, and the film's heavy scientific explanations may come across as tedious and boring to many. The potential of the clever storyline and a few good performances is overshadowed by the film's low-budget feel and lack of widespread distribution."
What makes this movie the worst film you've ever seen?,"I don't want to go off on a rant here, but.....this is the worst ""film"" I've ever seen. Worse than The Avengers. Incompetent directing, disjointed writing, and awful acting are the only consistent elements throughout. Shot on very cheap video, it looks like a high school project, but without the emotion. The lighting frequently looks like a single Sun-Gun. The sound is slightly better than a single mic on the camera, but everything else about this thing is just awful. The plot heads off in strange directions with no foundation or later resolution, the techie elements are patently absurd, and the editing looks worse than a rough cut. It's not even bad enough to be funny. It's just bad. BTW, the packaging is intentionally misleading.<br /><br />Lion's Gate owes me $4.00.","Incompetent directing, disjointed writing, and awful acting are the only consistent elements throughout this film. It looks like a high school project shot on very cheap video, lacking emotion. The lighting is poor, resembling a single Sun-Gun, and the sound quality, while slightly better, is still subpar with just a single mic on the camera. The plot meanders aimlessly, the techie elements are nonsensical, and the editing is extremely rough. Overall, this movie fails to even be entertainingly bad; it's just a dreadful viewing experience."
What were some aspects of the movie that made it intolerable to watch?,"I can't believe that this movie even made it to video, and that video rental stores are willing to put it on their shelves. I literary asked for a refund. Take away the fact that the movie has no historical truth it, and it is still the worse movie ever found in a video store. It is not even good enough to be called a B rated movie. Do not waste your money or your time on this movie. Just listing to the voice over and the horrible music made me sick. Anyone involved with this movie should be pulled from the union, gives the industry a black mark, but after watching most of this movie I really don't think anyone involved is a union member.","The movie lacks historical accuracy and fails to deliver any decent content, making it unworthy of even the lowest rating. The voice over and music are grating, and anyone associated with this film should be ashamed."
What are some specific aspects of the movie that stood out as particularly disappointing to you?,"This movie must have been the absolute worst movie i have ever seen. My sister and her boyfriend went to rent Zodiac (2007) and got this one by accident. thought it was a joke before the actual movie. this was terrible i was waiting for it to get scary and it never did. this movie had not actual facts about the real Zodiac killer. The filmmakers clearly didn't even bother to research anything on the killings... they only liked the name... so they decided to write a script about nothing true to its name. I am upset i didn't realize it wasn't the movie sooner. I try to like something out of every movie, i don't hate movies... ever... except this one. If you could have given it no stars, i definitely would have. 1 out of 10.","The movie failed to deliver any scares or adhere to any real facts about the Zodiac killer, indicating a lack of research and a misleading premise."
What makes this movie so terrible according to the reviewer?,"This movie is bad. I don't just mean 'bad' as in; ""Oh the script was bad"", or; ""The acting in that scene was bad"".....I mean bad as in someone should be held criminally accountable for foisting this unmitigated pile of steaming crud onto an unsuspecting public. I won't even dignify it with an explanation of the (Plot??) if I can refer to it as that.I can think of only one other occasion in some 40-odd years of movie watching that I have found need to vent my spleen on a movie. I mean, after all, no one goes out to intentionally make a bad movie, do they? Well, yes. Apparently they do...and the guilty man is writer/director Ulli Lommel. But the worst of it is that Blockbusters is actually renting this to their customers! Be advised. Leave this crap where it belongs. Stuck on the shelf, gathering dust.","The reviewer finds this movie to be an absolute disaster, expressing strong disdain towards both the writer and director. They are shocked that Blockbusters even has this film in its rental inventory and strongly advises others to steer clear and let it collect dust on the shelf."
What makes this movie a complete disaster?,"Awful, awful, awful.<br /><br />A condescending remark at the start and a few nasty autopsy photos does not a good movie make. Once again I'm amazed at the determination and skill that some people have in achieving a movie production and yet they don't have the pride to realise that what they have made is an utter pile of crap.<br /><br />I sat and tried to think of a redeeming feature so that I could at least balance my criticism but the only one I could think of was that the opening track by Pink was pretty good....I wonder if she has seen this?<br /><br />Watch this at your peril, the boredom may kill you.","The movie is filled with condescending remarks, unpleasant autopsy photos, and is ultimately a pile of crap. The only redeeming quality is the opening track by Pink. Watch it at your own risk, as it may bore you to death."
"Did the movie live up to its potential and deliver a compelling storyline?

Negative","If I could give it a zero, I'd change my mind and give it a -10 instead. Absolutely horrible movie with no movie plot, doesn't make sense of what is happening. Just PLAIN BORING. Please don't waste your money on this one. Pleaseee!!! This movie could have done so well if it truly depicted the real zodiac killer's story, but nopes, I didn't feel anything but disgust while watching it. Do yourself a favor and rent some classic movies instead, its better to watch a movie you've already seen like 3-4 times than watch this crap! I don't understand why people even bother to make such movies when they know its not going to do well. Zodiac killer should be called 'Boriac killer' instead!!!","Absolutely horrible movie with no movie plot, doesn't make sense of what is happening. Just PLAIN BORING. The film fails to engage the audience and leaves them feeling disgusted rather than entertained. This movie is a waste of time and money, and viewers would be better off watching something else instead."
Do you think everyone will enjoy this movie?,"I have been learning about the Zodiac for four years now. And I'm not saying I know much more than anyone else...in fact out of most of the people who know and read and learn about Z, I am prolly the one with the least knowledge...But I do know or at least I think I know that most of the stuff in this wouldn't happen...From how he signed his name...to how he killed people...I thought that Godfather was the worst film ever...<br /><br />The cinematography was that of a five year old...not saying that my films are any better but I am not someone who is making movies for the mass population...<br /><br />The acting I thought for the most part was pretty good really I did...the lead didn't talk that much on camera or at all I forget and don't know because I stopped watching...his voice overs where good...<br /><br />But really spend the four dollars and 70 cents on something else...like a large pizza or something...<br /><br />Until I learn how to write a review, Psycho Phil","The cinematography in this film was comparable to that of a five-year-old, lacking the quality expected in a movie. The storyline and portrayal of the Zodiac events did not align with known facts, which may disappoint audiences seeking accuracy. Save your money and opt for a large pizza instead, as this film may not be worth the watch."
What elements were lacking in this movie that made it unbearable to watch?,"Really, really bad. How does a film this bad get made? I kept waiting for some redeeming plot point, interesting camera work, or at least some gratuitous nudity but I got nothing. I had just watched Cabin Fever and I thought it was an train wreck (except for the nudity and Pancakes) but it looks like genius compared to this dreck. The best script doctor in the world couldn't have saved this putrid pile of of stinking poo.<br /><br />The only thing going for this ""film"" is that it ended.<br /><br />I've got a headache just thinking about this movie and trying to write something. Ugh! I'm glad I only paid $5 for it and it will soon end up in a landfill.","This movie was a complete disaster. I was left completely disappointed with the lack of a coherent plot, engaging camera work, or any elements that could redeem it. It was a painful experience to sit through, and I found myself longing for even the smallest glimmer of creativity that never came. Overall, it was a waste of time and money, and I wouldn't recommend it to anyone."
What makes this film a disappointment despite the clarity of the DV shots?,"I gave this two stars for the awesome DV shot clarity, which lends to the cold and dark sterility of its character. That was being generous, I know.<br /><br />This film fails on all accounts. I can not recommend this, for it is neither poetic, nor blunt. Neither dramatic, nor suspenseful. Neither controversial, nor ordinary. It is just a wretched piece of trash that no horror or exploit fan can recommend in good faith.<br /><br />Do not watch this, whoever you are. . .please, just stay away from this awful product.<br /><br />Thank you.","The film is an absolute letdown, lacking in poetic, dramatic, and suspenseful moments. It fails to engage the audience and is simply a wretched piece of trash that no horror or exploit fan would recommend."
What are the shortcomings of the movie being criticized?,"While William Shater can always make me smile in anything he appears in, (and I especially love him as Denny Crane in Boston Legal), well, this show is all about glitz and dancing girls and screaming and jumping up and down.<br /><br />It has none of the intelligence of Millionaire, none of the flair of Deal or No Deal.<br /><br />This show is all about dancing and stupid things to fill in the time.<br /><br />I watched it of course just to check it out. I did watch it for over 45 minutes, then I had to turn it off.<br /><br />The best part of it was William Shatner dancing on the stage. He is a hoot!!! unfortunately, this show WILL NOT MAKE IT.<br /><br />That's a given","While William Shatner's presence may bring some joy, the show is criticized for being filled with superficial elements like glitz, dancing girls, and mindless entertainment. Lacking the sophistication of other shows like Millionaire and the charm of Deal or No Deal, this movie focuses more on flashy distractions than substance. Despite Shatner's entertaining dance moves, the overall lack of depth and poor content makes it unlikely to succeed."
What makes this show stand out compared to others on television?,"My wife and I are semi amused by Howie Mandel's show.. I also like Shatner - even when he's at his most pathetic..<br /><br />But this is absolutely the worst show on television.<br /><br />Please cancel this show. It sucks a**.<br /><br />The only positive thing I can say is that the girls are hotter on this show and seem to wear less clothing than Deal or no Deal...<br /><br />The questions are a mixture of way too easy and incredibly obscure. And watching Shatner or the contestant say ""Show me the money"" makes me want to vomit..<br /><br />This one will not last.","The show lacks substance and fails to engage viewers with its mixture of overly simplistic and extremely difficult questions. The constant repetition of the phrase ""Show me the money"" quickly becomes annoying, and the overall quality is deemed as the worst on television. The only redeeming quality seems to be the attractiveness of the female participants who wear revealing clothing."
What were some viewers critical of regarding the character relationships in the movie?,"As the summary says you just made the most ignorant comment i have ever heard on an RPG. You seriously thought they were gay? Are you retarded? If you went to go save your best friend and someone decides out of the goodness of his heart to help you then you are in a serious debt to that man. Lavitz was a good person and each time they helped each other it made them closer as friends. They weren't gay lovers like your bitching about. And to let you know the game is set in a medieval time period. Back then, women did just prepare meals while the men fought. Do you even know your history? Do you know how long it took for women to be accepted in the army in present day? This game contains a lot of realism even though your too damn slow obviously to catch it, and you really need to spit out some solid proof instead of ignorant assumptions based off your misguided act to interpret the story.","Some viewers were critical of the assumption that the characters were depicted as homosexual, arguing that the relationships were not accurately interpreted and demonstrated a lack of understanding of the story's context and historical setting."
What are some reasons why this movie might not be enjoyable to all viewers?,"Man, this gets a lot of good reviews in the review books. Frankly, I found it too slow and unappealing right from the start. I kept waiting for it to pick up a little steam but that never happened. This movie is vastly overrated.<br /><br />Shakespeare, with the King James English, has never appealed to me, anyway, so it may just be me. There is a fair share of the latter in the first half of the film as they show Ronald Colman playing the role of Othello.<br /><br />The good points of the film include - thanks to a restored print - some decent cinematography and a young, slim and attractive Shelly Winters.<br /><br />Overall, this is simply too boring, too much repetition in some of the scenes to watch again. Besides, we all know that most actors are nut-cases, anyway, but kudos to Hollywood for demonstrating it here in this story.","This movie received a lot of hype, but for me, it was a slow and unengaging experience right from the beginning. I kept waiting for the pace to pick up, but unfortunately, that never happened. The use of old-fashioned language like King James English, particularly in the portrayal of Othello by Ronald Colman, didn't appeal to me. While the cinematography and the presence of a young and attractive Shelly Winters were noteworthy, the film overall felt boring and repetitive in some scenes, making it a one-time watch at best. Additionally, the portrayal of actors as eccentric may have been realistic, but it didn't add to the entertainment value of the movie."
"What are the drawbacks of the film ""A Double Life""?","Ronald Colman won a Best Actor Oscar for showy performance as a popular stage thespian who completely loses himself in his roles, particularly as Shakespeare's Othello. Critically-lauded George Cukor film has a marvelous pedigree, having been written by the estimable team of Ruth Gordon and Garson Kanin. Unfortunately, the witty banter comes off as self-conscious here, and the backstage business is overripe. Miklós Rózsa also won an Oscar for his score, and Shelley Winters has a few fine moments a tough waitress (when theatrical Colman breathlessly addresses her, she asks him, ""What are ya? Some kind of nut?""). Otherwise, this scenario is awfully obvious, surprisingly draggy, and not very funny. *1/2 from ****","The witty banter in the movie feels forced, and the backstage scenes are too melodramatic. The storyline is predictable and drags on, lacking humor. Overall, the film comes off as obvious and not very engaging. *1/2 from ****"
"What makes this movie such a waste of time?
Negative","Oh man, this s-u-c-k-e-d sucked.... I couldn't even get any camp value out of this......and I sat through the whole thing on Showtime.... Don't bother waiting around for the 'naked' scenes either.....it's too late and only plastic Jenna Jameson is involved.. Shows how much discretionary cash must be laying around Hollywood just to get your name on the closing credits.. I guess Showtime had to throw something in at 1am... Next time I think I'd even rather be watching ESPN loop around every 30 minutes...","This movie was a total waste of time, lacking any redeeming qualities. The attempt at adding nudity fell flat with only plastic figures, and the overall production felt like a desperate attempt to fill airtime on Showtime. Rather than providing entertainment, it was a cringe-worthy experience that left me wishing I had chosen to watch anything else, even ESPN."
Why does the wife in the movie fail to consider her husband's safety when dealing with the psychotic stalker?,*****Warning: May contain SPOILERS********* My HUGE problem with this movie is how totally self-centered and self consumed the adulteress wife is!! After having a one night stand with a slimy psycho she is being stalked by him. He calls her constantly and threatens her and even sends a video of their night together. He is OBVIOUSLY crazy and very dangerous. The problem is she only thinks he is dangerous to HER (and exposing her secret). Not for one second did she ever have one thought of concern for her husband! Did she even for a moment think of him possibly being in danger from this psychotic?? As soon as she realized how mental he was she should have warned her husband no matter what the consequences. Maybe there wouldn't have been a movie then but there really wasn't one anyway so what's the difference.,"The movie lacks depth in character development, especially regarding the wife's selfishness and lack of concern for her husband's safety. Her actions make it hard for the audience to sympathize with her, ultimately leading to a lackluster viewing experience."
What makes the portrayal of the helicopter unrealistic in this program?,"I really looked forward to this program for two reasons; I really liked Jan Michael Vincent and I am an aviation nut and have a serious love affair with helicopters. I don't like this program because it takes fantasy to an unbelievable level. The world speed record for helicopters was set at 249 mph by a Westland Lynx several years ago. The only chopper that was ever faster was the experimental Lockheed AH56A in the 1960's. It hit over 300 and was a compound helicopter, which means it had a pusher propeller at the end of its fuselage providing thrust.<br /><br />In short, no helicopter can fly much over 275 because of the principle of rotary wing flight. And the Bell 222, the ""actor"" that portrayed Airwolf wasn't very fast even by helicopter standards. And it didn't stay in production very long.<br /><br />There was a movie that came out during this time period called ""Blue Thunder"" that was much more realistic.","The portrayal of the helicopter in this program is criticized for being extremely unrealistic, with the helicopter depicted as achieving speeds that far exceed what is scientifically possible in real life. The reviewer also mentions that another movie from the same time period, ""Blue Thunder,"" offered a much more realistic portrayal of helicopters."
What are some reasons viewers might find the show disappointing despite their nostalgia for it?,"I remember loving this show when I was a kid. I thought the helicopter was the coolest thing I've seen. It was ultra high-tech for it's time. It could repel enemy fire, do all sorts of acrobatics in the air, and take down nearly anything in it's way. Now I go back and watch it today and am surprised how lousy this show really is. The casts members are hardly compelling, there are a lot of cheesy moments, and the fight scenes are incredibly fake looking. And nearly every ending has the same helicopter fighting crap with the obvious reuse of grainy low quality stock footage. Lot of the footages appear to date from the Vietnam War era.<br /><br />Airwolf has basically the same theme as Knight Rider, except the crime-fighting vehicle of choice is a helicopter instead of a car. After watching a few episodes, I found myself utterly bored. I do, however, love the theme music.",The show relies heavily on cheesy and fake-looking fight scenes with obvious reuse of dated Vietnam War-era footage. The cast members lack compelling performances and the plot is unoriginal compared to similar shows from the same era. This leads to a lackluster viewing experience for many.
"What are some drawbacks of the film ""Cinderella 2000""?","This film is roughly what it sounds like: a futuristic version of the Cinderella legend but with songs and (fairly tame) sex scenes! The film is not sure what it wants to be and pretty much ends up a mess. It's more expensive looking than most of director Al Adamson's films but it's not at the same budget level that viewers have come to expect from sci-fi films. The actors are pretty bad and unlike most Adamson films, there are no former big namers or B actors. Some of the music is OK but it's easy to see why Cinderella 2000 has been forgotten for so many years.","The movie lacks a clear direction and ends up feeling like a mess. The actors' performances are subpar, and the absence of well-known actors doesn't help elevate the film. Additionally, the film fails to meet the expected budget levels for a sci-fi movie, despite looking more expensive than other films by the same director. The music is mediocre, and overall, ""Cinderella 2000"" fails to leave a lasting impression on viewers."
Was the movie '___' a worthwhile watch for viewers?,"Oh, it's the movie - I thought I waited too long to take out the dog... I can't believe I watched the whole thing. I guess I was optimistically anticipating that it was going to get better. Horribly disjointed dialog, pathetic acting, and totally improbable events. Like Toby's mom hanging herself in the time it takes Col to walk upstairs and back down in a room with a 24' ceiling and no chairs, counters or anything around her motionlessly suspended body that she could have possibly used to climb on to do herself in. The little girl that played the daughter of the last family was the best actor in the whole movie, and the puppy of the first couple was a close second. The basic storyline has potential and with a good script and director could be a seriously creepy flick, but this version sadly is not it. I get more scared when I open my electric bill every month.","This movie felt like a never-ending attempt at horror that failed to deliver any scares or captivate the audience. The dialogues were confusing, the acting was subpar, and the events were entirely unbelievable. Even the most talented actors in the movie couldn't salvage the poorly executed storyline and direction. It left me more disappointed than frightened, and I wouldn't recommend it to fellow movie enthusiasts."
Do you trust the positive reviewer?,"The cast is OK. The script is awkward at times, and it takes a while to figure out what the point of the movie is. I found myself looking forward to doing the dishes. The Shehan bit is a cheesy statement on the war. I guess we were supposed to not notice it...we did. Its a house, you did nothing more than kill forty five minutes. The shower part...huh? What was that about? Literally, it is I have a client, ""Ok you can use our shower."" Yawn. The angles are trying way to hard. There was a set of woods, suddenly its gone cause you can see right through, then next it is deep and animals are dying. In the end this is a horrendous movie of boring proportions.","The movie is an absolute disaster. The cast is just about tolerable, the script is a mess, and you'll find yourself more interested in doing the dishes than figuring out the point of the movie. The Shehan part is like a bad joke on the war, trying too hard to make a statement that falls completely flat. The whole film feels like a waste of time, with awkward scenes and confusing moments that make you question why you're watching it. Skip this one - it's a boring mess."
What aspects of the movie failed to live up to the expectations of someone who loved the original book?,"Not that I was really surprised....movies are never as good as the books that they originated from. I was looking forward to seeing this movie because this is one of my favorite books, even though I knew it would probably suck. I was hoping to be pleasantly surprised. However, they strayed from the book's storyline too much, and the movie version did not convey how horrible this house really was. Ending was different too. Lara Flynn Boyle looked terrible due to some really bad cosmetic surgery. The acting was unremarkable at best. Perhaps if a theatrical version was made so that they wouldn't have to stay so much in Lifetime's ""made for TV movie"" box, it would be a better flick. If you saw this movie I highly encourage you to track down the book and read it. I doubt you'll be disappointed and hope you enjoy it as much as I do every time I read it.","The movie deviated significantly from the original book's storyline, failing to capture the essence of the house's horror. The ending was also altered, and Lara Flynn Boyle's appearance suffered due to bad cosmetic surgery. The acting was mediocre at best, with the movie feeling more like a TV production than a theatrical release. Reading the book is recommended over watching this disappointing adaptation."
Can you tell me about your experience watching the movie?,"I read the book a long time back and don't specifically remember the plot but do remember that I enjoyed it. Since I'm home sick on the couch it seemed like a good idea and Hey !! It is a Lifetime movie.<br /><br />The movie is populated with grade B actors and actresses.<br /><br />The female cast is right out of Desperate Housewives. I've never seen the show but there are lots of commercials for the show and I get the gist. Is there nothing original anymore? Sure, but not on Lifetime.<br /><br />The male cast are all fairly effeminate looking and acting but the girls need to have husbands I suppose.<br /><br />In one scene a female is struggling with a male, for her life, and what does she do??? Kicks him in the testicles. What else? Women love that but let me tell you girls something... It's not as easy as it's always made to look.<br /><br />It wasn't all bad. I did get the chills a time or two so I have to credit someone with that.",The movie features grade B actors and actresses with stereotypical characters that lack originality. The female cast seems straight out of a Desperate Housewives episode while the male cast comes off as fairly effeminate. The scene where a female kicks a male in the testicles for self-defense is unrealistic and the lack of originality in the storyline is disappointing.
What effect did the shaky hand-held camera work have on the viewer while watching the film?,"A shaky hand-held camera was used, presumably to give the film a documentary look, but the effect was so exaggerated that I started to get motion-sickness just from watching it. It looked like someone with cerebral palsy was holding the camera (no offense meant to CP sufferers, but I don't think you would expect to get much work as a cinematographer!) The camera work was so nauseating, and so distracting, that my wife and I considered it unwatchable and gave up on it after 10 minutes of torture. I checked back a while later (it was showing on TV), and it hadn't gotten any better. I suggest giving this one a miss unless you need to get rid of any bad sushi you may have eaten!","The shaky hand-held camera work in the movie was so exaggerated that it caused motion sickness and made it nearly impossible to enjoy the film. My wife and I found it so distracting and nauseating that we had to stop watching after just 10 minutes. The constant wobbling made it seem like the cameraperson had shaky hands, which made it unpleasant to watch. It was like trying to watch a film while riding a rollercoaster, and I would recommend skipping this movie unless you want to feel queasy."
"What issues did you have with the pacing and continuity in the movie?
Negative","I found the pace to be glacial and the original story blown way out of proportion to the content. My wife slept through most of it and I did not try to wake her because I felt she was not missing anything.<br /><br />When Holmes and Watson enter the house and then are potentially caught, it is unclear how they could hide all of their entry and burglary tools so quickly. It is also unclear how the door to the study is locked, preventing the servants from getting in.<br /><br />The thing that puzzled me was right at the end when there was a glint in the eye of the broken statute. I have no clue what this was supposed to represent.","The movie was slow-paced and dragged out the original story, leaving viewers feeling bored and disconnected. The lack of explanation for certain events and inconsistencies in the plot made it difficult to stay engaged. Furthermore, the confusing ending with the broken statue lacked clarity and left audiences scratching their heads."
